ANSP_NAME,PRU_ATC_TYPE,AUA_CODE,AUA_NAME
Oro Navigacija,APP,EYSATMA,SIAULIAI APP
Oro Navigacija,ACC,EYVCCTA,VILNIUS ACC
Oro Navigacija,FIS,EYVICTA,VILNIUS FIC
Oro Navigacija,APP,EYVITMA,VILNIUS APP
ENAIRE,ACC,GCCCCTA,GCCC ACC
ENAIRE,APP,GCTSTMA,TENERIFE S
ENAIRE,APP,GCXOTMA,TENERIFE N
Albcontrol,ACC,LAAACTA,TIRANA ACC
Albcontrol,FIS,LAAAICTA,TIRANA FIC
BULATSA,APP,LBBGTMA,BURGAS APP
BULATSA,APP,LBGOCTR,GORNA ORYAHOVITSA CTR
BULATSA,APP,LBGOTMA,GORNA APP
BULATSA,APP,LBPDCTR,PLOVLID CTR
BULATSA,APP,LBSFTMA,SOFIA APP
BULATSA,ACC,LBSRCTA,SOFIA ACC
BULATSA,FIS,LBSRICTA,SOFIA + VARNA FLT INFO
BULATSA,APP,LBWNTMA,VARNA APP
DCAC Cyprus,ACC,LCCCCTA,NICOSIA ACC
DCAC Cyprus,APP,LCLKCTR,LARNAKA APPROACH
DCAC Cyprus,APP,LCPHCTR,PAPHOS APPROACH
DCAC Cyprus,APP,LCRACTR,AKROTIRI APPROACH
Croatia Control,APP,LDDUTMA,DUBROVNIK TMA
Croatia Control,APP,LDOSTMA,OSIJEK APP
Croatia Control,APP,LDPLTMA,PULA APP
Croatia Control,APP,LDRITMA,RIJEKA TMA
Croatia Control,APP,LDSPTMA,SPLIT APP
Croatia Control,APP,LDZATMA,ZAGREB APP
Croatia Control,APP,LDZDTMA,ZADAR TMA
Croatia Control,ACC,LDZOCTA,ZAGREB ACC
ENAIRE,APP,LEAMTMA,ALMERIA APP
ENAIRE,APP,LEASTMA,ASTURIAS APP
ENAIRE,APP,LEBBTMA,BILBAO APP
ENAIRE,APP,LEBLTMA,LEBL TMA
ENAIRE,ACC,LECBCTA,BARCELONA ACC
ENAIRE,APP,LECGTMA,GALICIA APP
ENAIRE,APP,LECLTMA,VALENCIA APP
ENAIRE,ACC,LECMCTA,LECMCTAN+LECMCTAS
ENAIRE,ACC,LECPCTA,ACC PALMA
ENAIRE,ACC,LECSCTA,SEVILLA ACC
ENAIRE,APP,LEGETMA,GERONA APP
ENAIRE,APP,LEGRTMA,GRANADA APP
ENAIRE,APP,LEIBCTR,IBIZA TWR
ENAIRE,APP,LELNTMA,LEON APP
ENAIRE,APP,LEMDTMA,MADRID APP
ENAIRE,APP,LEMGTMA,MALAGA APPROACH
ENAIRE,APP,LEMHTMA,MENORCA APP
ENAIRE,APP,LEPATMA,PALMA APP
ENAIRE,APP,LEPPCTA,PAMPLONA APP
ENAIRE,APP,LERJCTA,LOGRONO APP
ENAIRE,APP,LERSTMA,REUS APP
ENAIRE,APP,LESOCTA,SAN SEBASTIAN APP
ENAIRE,APP,LEVTCTA,VITORIA APP
ENAIRE,APP,LEXJTMA,SANTANDER APP
DSNA,ACC,LFBBCTA,BORDEAUX U/ACC
DSNA,APP,LFBDTMA,AQUITAINE SIV
DSNA,APP,LFBHTMA,SIV LA ROCHELLE
DSNA,APP,LFBITMA,POITIERS SIV
DSNA,APP,LFBLTMA,LIMOGES SIV
DSNA,APP,LFBOTMA,SIV TOULOUSE
DSNA,APP,LFBPTMA,PAU PYRENEES SIV
